Case,index,REF_gradU_11,REF_gradU_12,REF_gradU_13,REF_gradU_21,REF_gradU_22,REF_gradU_23,REF_gradU_31,REF_gradU_32,REF_gradU_33,w1,w2,w3,w4,w5,w6
squareDuctAve_Re_1100,0,0.0,0.12212307,0.12812999,0.0,1.2097241e-05,8.173055e-06,0.0,-7.884579e-06,-1.3151045e-05,-18.420680743952367,1.0075928549490285e-16,-1.3683118748229533e-16,-18.420680743952357,-4.804713481025982e-15,-18.42068074395236
squareDuctAve_Re_1100,1,0.0,0.10564773,0.34979722,0.0,2.5183284e-05,4.112166e-05,0.0,-1.3700796e-07,-2.6390131e-05,-17.295014738674702,0.013800687915533828,-0.00039547604351472033,-18.42059614559635,-3.428438529115078e-06,-18.420680674481808
squareDuctAve_Re_1100,2,0.0,0.09279061,0.5513581,0.0,4.8075976e-06,5.4089236e-05,0.0,7.5825615e-06,-9.396925e-06,-16.621400465870508,0.012010435276202389,-0.01351413261864189,-18.42064065832555,-6.378713644351398e-05,-18.420629992609555
squareDuctAve_Re_1100,3,1.4356907e-16,0.09326954,0.7921823,6.1185653e-21,-2.9147035e-05,5.045434e-06,5.042462e-21,1.0315689e-05,3.2958465e-05,-15.992155797881878,0.0034259568426191094,-0.003823001971584569,-18.420678327427837,-3.8135447058503112e-06,-18.420677734853356
squareDuctAve_Re_1100,4,1.5105544000000002e-16,0.07397769,0.9678267,-2.3049263000000002e-21,-5.9085563e-05,-9.489257e-05,4.6098525e-21,7.524886e-06,6.507857e-05,-15.820057257535973,-0.004489813737338741,-0.005732010675067008,-18.42067686826113,6.997498856403319e-06,-18.42067442701596
squareDuctAve_Re_1100,5,-6.616311000000001e-17,0.094317265,1.190991,1.6153084e-20,-0.00013080426,-0.00032477514,-2.0191333e-21,1.137085e-05,0.0001101589,-15.442402619750075,-0.011976718991696094,-0.004268570871588671,-18.4206566626222,1.2137803621869974e-05,-18.42067768502091
squareDuctAve_Re_1100,6,1.3167793e-16,0.08303465,1.3685843,-3.2147916e-20,-0.00015669432,-0.0005839713,4.0184887e-21,7.7792465e-06,0.0001395229,-15.224564843318593,-0.007858680145191964,-0.006818254090980274,-18.42067108240447,1.185455558743931e-05,-18.420673471282925
squareDuctAve_Re_1100,7,0.0,0.05157638,1.572041,0.0,-0.00011115435,-0.0009849145,0.0,2.474804e-06,0.00016925919,-15.027288226885066,-0.019838863805599294,-0.0057514017070270426,-18.420622751763833,2.377614290287321e-05,-18.420675869977213
squareDuctAve_Re_1100,8,0.0,0.08363781,1.7553581,0.0,-0.00020992618,-0.0014234906,0.0,5.3199456e-06,0.0001887547,-14.864017144167232,-0.02760830362133781,-0.0005050408462811654,-18.42057359037887,2.7720970994569593e-06,-18.42068070809485
squareDuctAve_Re_1100,9,0.0,0.067599386,1.9634537,-3.7752885e-20,-0.00019642984,-0.0019798523,2.3595515e-21,1.3777473e-06,0.00020127678,-14.593497401714455,-0.03485220913148669,-0.0002084294822873598,-18.420522053294935,1.34213188986196e-06,-18.420680738276804
