method,run,seed,test_R2,test_MSE,train_R2,train_MSE
regularized,0,1337,0.8867064842942662,3.5479547712537975,0.8915246405920241,3.4053043082908347
regularized,1,1338,0.8869460552389549,3.540452250727901,0.8921871820318937,3.3845061902646667
regularized,2,1339,0.8901372095192145,3.440517019342493,0.8942297043170936,3.3203861625106246
regularized,3,1340,0.8883314630359654,3.4970664978027344,0.8907812837095748,3.42864050688567
regularized,4,1341,0.8847106582840386,3.610457173100224,0.8897183553977261,3.462008564560502
regularized,5,1342,0.8852902627886906,3.592306207727503,0.8934685340719615,3.344281143612332
regularized,6,1343,0.8884800997039574,3.492411454518636,0.8932080194247773,3.3524596602828414
regularized,7,1344,0.891358280544894,3.402277010458487,0.8936418539232797,3.3388399371394404
regularized,8,1345,0.8878757630250222,3.511337368576615,0.8947705711037457,3.303406839017515
regularized,9,1346,0.8751864522617244,3.9087219768100314,0.888648786304087,3.49558452323631
